iter	Passed	Remaining
0	1	106
1	2	99
2	2	94
3	3	87
4	4	87
5	5	85
6	6	83
7	7	83
8	8	82
9	9	81
10	10	81
11	11	81
12	12	82
13	13	81
14	14	80
15	15	79
16	16	78
17	16	77
18	17	76
19	18	75
20	19	74
21	20	73
22	21	71
23	22	70
24	23	70
25	24	69
26	25	68
27	26	67
28	27	66
29	28	66
30	29	65
31	30	64
32	31	63
33	31	62
34	32	61
35	33	60
36	34	59
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	56	35
61	56	34
62	58	34
63	59	33
64	60	32
65	61	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	24
74	69	23
75	70	22
76	71	21
77	71	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	14
84	78	13
85	79	12
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	90	2
97	91	1
98	92	0
99	93	0
